,manufactured,brand,variant,owner,fuel,type,kms,price,city
89,2016,Honda,Honda Jazz,1st Owner,Petrol,Manual,39344,510799,New Delhi
90,2016,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,34879,730699,New Delhi
91,2018,Maruti,Maruti Ignis,1st Owner,Petrol,Manual,17318,511399,New Delhi
92,2013,Honda,Honda Amaze,1st Owner,Diesel,Manual,72572,337199,New Delhi
93,2016,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,65443,721199,New Delhi
94,2014,Hyundai,Hyundai Grand i10,2nd Owner,Petrol,Manual,112190,378099,New Delhi
95,2013,Honda,Honda Amaze,1st Owner,Diesel,Manual,33562,359099,New Delhi
96,2013,Ford,Ford Ecosport,2nd Owner,Diesel,Manual,80946,426999,New Delhi
97,2013,Ford,Ford Ecosport,1st Owner,Diesel,Manual,113857,380299,New Delhi
98,2017,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,35406,764599,New Delhi
99,2018,Renault,Renault Kwid,2nd Owner,Petrol,Manual,41139,313499,New Delhi
100,2019,Hyundai,Hyundai Venue,1st Owner,Petrol,Automatic,13715,1124399,New Delhi
101,2014,Toyota,Toyota Innova,1st Owner,Diesel,Manual,82096,1097199,New Delhi
102,2016,Ford,Ford Ecosport,1st Owner,Petrol,Manual,7789,742599,New Delhi
103,2010,Maruti,Maruti Ritz,1st Owner,Petrol,Manual,27052,266599,New Delhi
104,2019,Hyundai,Hyundai Elite i20,1st Owner,Petrol,Manual,21556,601499,New Delhi
105,2013,Maruti,Maruti Swift Dzire,1st Owner,Petrol,Manual,31505,421599,New Delhi
106,2016,Maruti,Maruti Ciaz,2nd Owner,Diesel,Manual,56758,588999,New Delhi
107,2014,Hyundai,Hyundai i20,2nd Owner,Diesel,Manual,88697,369699,New Delhi
108,2018,Hyundai,Hyundai Elite i20,1st Owner,Petrol,Manual,23758,576499,New Delhi
109,2013,Hyundai,Hyundai Verna,2nd Owner,Petrol,Manual,48596,525399,New Delhi
110,2013,Maruti,Maruti Ertiga,3rd Owner,Diesel,Manual,119067,438899,New Delhi
111,2015,Maruti,Maruti Ciaz,2nd Owner,Diesel,Manual,61758,634699,New Delhi
112,2017,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,93199,668199,New Delhi
113,2016,Ford,Ford Ecosport,1st Owner,Petrol,Manual,22197,761599,New Delhi
114,2018,Honda,Honda Amaze,1st Owner,Petrol,Manual,14259,746799,New Delhi
115,2014,Hyundai,Hyundai Grand i10,2nd Owner,Petrol,Manual,39019,431099,New Delhi
116,2016,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,54460,658899,New Delhi
117,2017,Ford,Ford Ecosport,2nd Owner,Diesel,Manual,50477,596099,New Delhi
118,2016,Maruti,Maruti Wagon R 1.0,2nd Owner,Petrol,Manual,71758,335799,New Delhi
119,2017,Ford,Ford Figo Aspire,1st Owner,Petrol,Manual,31724,479899,New Delhi
120,2013,Toyota,Toyota Fortuner,2nd Owner,Diesel,Manual,117460,1268299,New Delhi
121,2018,Ford,Ford Figo Aspire,1st Owner,Petrol,Manual,39845,559899,New Delhi
122,2013,Toyota,Toyota Fortuner,1st Owner,Diesel,Automatic,154297,1258899,New Delhi
123,2017,Maruti,Maruti Ciaz,2nd Owner,Diesel,Manual,66396,607099,New Delhi
124,2013,Hyundai,Hyundai Verna,1st Owner,Diesel,Manual,82659,473899,New Delhi
125,2018,Hyundai,Hyundai Elite i20,2nd Owner,Diesel,Manual,74782,704399,New Delhi
126,2020,Toyota,Toyota YARIS,1st Owner,Petrol,Manual,13976,950999,New Delhi
127,2017,Ford,Ford Ecosport,1st Owner,Petrol,Automatic,20923,802199,New Delhi
128,2020,Honda,Honda City,1st Owner,Petrol,Automatic,10322,1344699,New Delhi
129,2015,Hyundai,Hyundai Verna,1st Owner,Diesel,Manual,62300,646299,New Delhi
130,2017,Ford,Ford Ecosport,1st Owner,Petrol,Automatic,31557,762999,New Delhi
131,2020,Honda,Honda City,1st Owner,Petrol,Automatic,11839,1414499,New Delhi
132,2013,Hyundai,Hyundai Grand i10,1st Owner,Diesel,Manual,63184,316899,New Delhi
133,2014,Toyota,Toyota Corolla Altis,1st Owner,Diesel,Manual,126822,661499,New Delhi
134,2014,Maruti,Maruti Ertiga,2nd Owner,Diesel,Manual,93340,559199,New Delhi
135,2012,Honda,Honda Brio,1st Owner,Petrol,Manual,27194,309699,New Delhi
136,2017,Ford,Ford Ecosport,1st Owner,Petrol,Manual,37026,730899,New Delhi
137,2017,Ford,Ford Ecosport,1st Owner,Petrol,Manual,16090,756599,New Delhi
138,2017,Maruti,Maruti S Cross,2nd Owner,Diesel,Manual,96542,854399,New Delhi
139,2020,Honda,Honda City,1st Owner,Petrol,Manual,8641,1107899,New Delhi
140,2019,MG,MG Hector,2nd Owner,Petrol,Manual,21150,1603999,New Delhi
141,2014,Honda,Honda City,1st Owner,Diesel,Manual,79174,541199,New Delhi
142,2014,Renault,Renault Duster,1st Owner,Diesel,Manual,159012,437699,New Delhi
143,2012,Toyota,Toyota Fortuner,1st Owner,Diesel,Manual,146017,1077899,New Delhi
144,2012,Hyundai,Hyundai Verna,2nd Owner,Petrol,Manual,25373,435399,New Delhi
145,2016,Ford,Ford Ecosport,1st Owner,Petrol,Manual,34212,710199,New Delhi
146,2020,Maruti,Maruti S PRESSO,1st Owner,Petrol,Manual,13207,456499,New Delhi
147,2020,Maruti,Maruti S PRESSO,1st Owner,Petrol,Manual,6637,475799,New Delhi
148,2012,Hyundai,Hyundai Verna,1st Owner,Diesel,Manual,112865,392799,New Delhi
149,2020,Maruti,Maruti S PRESSO,1st Owner,Petrol,Manual,6100,466699,New Delhi
150,2016,Ford,Ford Ecosport,1st Owner,Petrol,Manual,27829,740799,New Delhi
151,2017,Hyundai,Hyundai Elite i20,1st Owner,Petrol,Manual,31450,628399,New Delhi
152,2015,Hyundai,Hyundai Grand i10,1st Owner,Diesel,Manual,107330,345099,New Delhi
153,2018,Ford,Ford Ecosport,1st Owner,Petrol,Manual,35869,813399,New Delhi
154,2014,Toyota,Toyota Fortuner,1st Owner,Diesel,Manual,175240,1333199,New Delhi
155,2019,Renault,Renault Kwid,1st Owner,Petrol,Manual,41661,344499,New Delhi
156,2016,Ford,Ford Ecosport,1st Owner,Petrol,Manual,57927,710499,New Delhi
157,2018,Ford,Ford Ecosport,1st Owner,Diesel,Manual,35747,834799,New Delhi
158,2018,Ford,Ford Ecosport,2nd Owner,Petrol,Manual,22443,817699,New Delhi
159,2013,Toyota,Toyota Etios Liva,1st Owner,Diesel,Manual,67725,318499,New Delhi
160,2018,Hyundai,Hyundai Creta,2nd Owner,Diesel,Manual,59837,1251099,New Delhi
161,2018,Ford,Ford Ecosport,1st Owner,Diesel,Manual,28379,862499,New Delhi
162,2018,Ford,Ford Ecosport,1st Owner,Diesel,Manual,38471,846299,New Delhi
163,2017,Maruti,Maruti Baleno,1st Owner,Diesel,Manual,62283,553599,New Delhi
164,2018,Ford,Ford Ecosport,2nd Owner,Diesel,Manual,24772,875599,New Delhi
165,2014,Maruti,Maruti Ritz,1st Owner,Diesel,Manual,79805,365199,New Delhi
166,2018,Ford,Ford Ecosport,1st Owner,Diesel,Manual,40788,849299,New Delhi
167,2017,Ford,Ford Ecosport,1st Owner,Diesel,Manual,68356,676099,New Delhi
168,2018,Ford,Ford Ecosport,2nd Owner,Diesel,Manual,16826,850499,New Delhi
169,2015,Honda,Honda City,2nd Owner,Diesel,Manual,193704,488999,New Delhi
170,2020,Maruti,Maruti S PRESSO,1st Owner,Petrol,Manual,15934,446599,New Delhi
171,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,82987,331099,New Delhi
172,2019,Renault,Renault Kwid,2nd Owner,Petrol,Manual,17515,344499,New Delhi
173,2019,Ford,Ford Ecosport,1st Owner,Petrol,Manual,14623,911999,New Delhi
174,2011,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,25086,250499,New Delhi
175,2018,Toyota,Toyota Corolla Altis,1st Owner,Petrol,Automatic,53593,1491399,New Delhi
176,2019,Ford,Ford Ecosport,1st Owner,Petrol,Manual,24435,860699,New Delhi
177,2017,Hyundai,Hyundai Elite i20,2nd Owner,Diesel,Manual,83787,636999,New Delhi
178,2015,Toyota,Toyota Etios,1st Owner,Diesel,Manual,77530,502399,New Delhi
179,2017,Ford,Ford Ecosport,1st Owner,Diesel,Manual,60954,729799,New Delhi
180,2014,Hyundai,Hyundai Verna,2nd Owner,Diesel,Automatic,98693,504699,New Delhi
181,2017,Hyundai,Hyundai Grand i10,2nd Owner,Petrol,Manual,78568,428099,New Delhi
182,2020,Maruti,Maruti S PRESSO,1st Owner,Petrol,Manual,4170,435999,New Delhi
183,2012,Volkswagen,Volkswagen Polo,1st Owner,Petrol,Manual,126101,371099,New Delhi
184,2018,Ford,Ford Ecosport,2nd Owner,Diesel,Manual,46082,783999,New Delhi
185,2019,Ford,Ford Ecosport,1st Owner,Diesel,Manual,53457,758699,New Delhi
186,2019,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,15604,592499,New Delhi
187,2019,Renault,Renault Kwid,1st Owner,Petrol,Manual,30252,344499,New Delhi
188,2018,Ford,Ford Ecosport,1st Owner,Diesel,Manual,52521,853199,New Delhi
189,2018,Maruti,Maruti Vitara Brezza,2nd Owner,Diesel,Manual,83300,716799,New Delhi
190,2019,Hyundai,Hyundai Creta,3rd Owner,Petrol,Automatic,14976,1256399,New Delhi
191,2010,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,40666,198199,New Delhi
192,2017,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,64350,444799,New Delhi
193,2018,Renault,Renault Kwid,1st Owner,Petrol,Automatic,67850,343099,New Delhi
194,2018,Hyundai,Hyundai Creta,3rd Owner,Diesel,Manual,29854,1235999,New Delhi
195,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,50742,710299,New Delhi
196,2017,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,41963,608899,New Delhi
197,2017,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,20990,564899,New Delhi
198,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,60395,688699,New Delhi
199,2018,Renault,Renault Kwid,1st Owner,Petrol,Manual,18277,325399,New Delhi
200,2019,Maruti,Maruti Alto,1st Owner,Petrol,Manual,13299,388699,New Delhi
201,2015,Hyundai,Hyundai Grand i10,1st Owner,Diesel,Manual,86636,381999,New Delhi
202,2016,Ford,Ford Ecosport,1st Owner,Diesel,Manual,88979,621999,New Delhi
203,2018,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,75073,578799,New Delhi
204,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,70981,334999,New Delhi
205,2016,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,106165,301799,New Delhi
206,2019,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,20099,326699,New Delhi
207,2019,Renault,Renault Kwid,1st Owner,Petrol,Manual,16787,353899,New Delhi
208,2018,Hyundai,Hyundai Grand i10,2nd Owner,Petrol,Manual,55724,460899,New Delhi
209,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,68749,347499,New Delhi
210,2019,Renault,Renault Kwid,1st Owner,Petrol,Manual,20322,353899,New Delhi
211,2018,Maruti,Maruti Swift,2nd Owner,Petrol,Automatic,32089,629799,New Delhi
212,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,71192,701699,New Delhi
213,2014,Maruti,Maruti Swift Dzire,2nd Owner,Diesel,Manual,118729,334899,New Delhi
214,2017,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,49387,619899,New Delhi
215,2015,Hyundai,Hyundai Grand i10,2nd Owner,Petrol,Manual,63396,364999,New Delhi
216,2016,Ford,Ford Ecosport,1st Owner,Diesel,Manual,90171,631899,New Delhi
217,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,82519,366799,New Delhi
218,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,82601,681399,New Delhi
219,2019,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,14237,629899,New Delhi
220,2015,Mahindra,Mahindra XUV500,2nd Owner,Diesel,Manual,114885,896399,New Delhi
221,2017,Hyundai,Hyundai Grand i10,2nd Owner,Petrol,Manual,44688,453399,New Delhi
222,2014,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,56467,367099,New Delhi
223,2019,Maruti,Maruti Baleno,2nd Owner,Petrol,Automatic,34079,710599,New Delhi
224,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,33968,794899,New Delhi
225,2016,Maruti,Maruti Swift Dzire,2nd Owner,Diesel,Manual,58123,527699,New Delhi
226,2020,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,3514,690699,New Delhi
227,2019,Renault,Renault Kwid,1st Owner,Petrol,Manual,13458,344499,New Delhi
228,2019,Renault,Renault Kwid,1st Owner,Petrol,Manual,20810,344499,New Delhi
229,2013,Hyundai,Hyundai i20,1st Owner,Diesel,Manual,32431,345299,New Delhi
230,2017,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,54041,283699,New Delhi
231,2020,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,7391,695499,New Delhi
232,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Automatic,32662,910599,New Delhi
233,2016,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,158642,457899,New Delhi
234,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,49708,786599,New Delhi
235,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,25398,809899,New Delhi
236,2012,Maruti,Maruti Swift,2nd Owner,Diesel,Manual,120326,306599,New Delhi
237,2017,Hyundai,Hyundai Grand i10,2nd Owner,Diesel,Manual,42631,461699,New Delhi
238,2015,Honda,Honda Amaze,1st Owner,Petrol,Manual,28309,516099,New Delhi
239,2015,BMW,BMW 5 Series,2nd Owner,Diesel,Automatic,80744,1886699,New Delhi
240,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,87567,332399,New Delhi
241,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Automatic,28144,1051799,New Delhi
242,2013,Toyota,Toyota Etios Liva,1st Owner,Diesel,Manual,97829,357899,New Delhi
243,2018,Maruti,Maruti Celerio,1st Owner,Petrol,Manual,27816,524399,New Delhi
244,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,68276,395899,New Delhi
245,2013,Maruti,Maruti Swift Dzire,2nd Owner,Diesel,Manual,49944,328299,New Delhi
246,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,75243,778199,New Delhi
247,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,26505,736099,New Delhi
248,2012,Maruti,Maruti Swift,2nd Owner,Diesel,Manual,68206,369999,New Delhi
249,2016,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,69989,447599,New Delhi
250,2015,Maruti,Maruti Swift Dzire,1st Owner,Petrol,Manual,23258,523999,New Delhi
251,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,36807,771899,New Delhi
252,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,67670,333799,New Delhi
253,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,52300,787899,New Delhi
254,2018,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,33108,456899,New Delhi
255,2017,Maruti,Maruti Swift,1st Owner,Diesel,Manual,46220,548099,New Delhi
256,2019,Maruti,Maruti Baleno,2nd Owner,Petrol,Automatic,6671,830199,New Delhi
257,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,18028,816899,New Delhi
258,2018,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,20713,792399,New Delhi
259,2014,Maruti,Maruti Wagon R 1.0,1st Owner,Petrol,Manual,5027,334799,New Delhi
260,2020,Maruti,Maruti Alto,1st Owner,Petrol,Manual,7949,321199,New Delhi
261,2015,Honda,Honda Amaze,1st Owner,Diesel,Manual,96713,404099,New Delhi
262,2015,Hyundai,Hyundai i10,1st Owner,Petrol,Manual,40102,365399,New Delhi
263,2020,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Automatic,17465,1037399,New Delhi
264,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,27455,844899,New Delhi
265,2014,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,87119,394099,New Delhi
266,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,31245,854199,New Delhi
267,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,37696,841299,New Delhi
268,2012,Maruti,Maruti Swift,1st Owner,Petrol,Manual,41244,355899,New Delhi
269,2015,Maruti,Maruti Swift Dzire,1st Owner,Petrol,Manual,13358,508999,New Delhi
270,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,60546,379599,New Delhi
271,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,112335,340399,New Delhi
272,2018,Maruti,Maruti Wagon R 1.0,1st Owner,Petrol,Manual,27853,433999,New Delhi
273,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,74447,368199,New Delhi
274,2014,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,76013,382199,New Delhi
275,2017,Maruti,Maruti Wagon R 1.0,1st Owner,Petrol,Manual,28190,425199,New Delhi
276,2015,Honda,Honda Amaze,1st Owner,Petrol,Manual,65067,410899,New Delhi
277,2019,Tata,Tata Tiago,1st Owner,Petrol,Manual,5388,503399,New Delhi
278,2017,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,24487,483099,New Delhi
279,2019,Maruti,Maruti Vitara Brezza,1st Owner,Diesel,Manual,56076,887799,New Delhi
280,2015,Hyundai,Hyundai Eon,1st Owner,Petrol,Manual,58809,300599,New Delhi
281,2014,Maruti,Maruti Swift,1st Owner,Diesel,Manual,79144,372699,New Delhi
282,2015,Maruti,Maruti Alto K10,1st Owner,Petrol,Manual,56401,288699,New Delhi
283,2017,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,34227,471599,New Delhi
284,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,120060,322399,New Delhi
285,2018,Hyundai,Hyundai Grand i10,2nd Owner,Petrol,Manual,16729,484299,New Delhi
286,2015,Maruti,Maruti Swift,1st Owner,Petrol,Manual,63344,417299,New Delhi
287,2012,Maruti,Maruti Swift,1st Owner,Diesel,Manual,38061,360099,New Delhi
288,2015,Maruti,Maruti Swift,2nd Owner,Diesel,Manual,61499,414399,New Delhi
289,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,77409,391299,New Delhi
290,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,58990,358599,New Delhi
291,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,76264,404599,New Delhi
292,2017,Hyundai,Hyundai Grand i10,1st Owner,Petrol,Manual,35933,507699,New Delhi
293,2017,Maruti,Maruti Alto 800,1st Owner,Petrol,Manual,63567,294299,New Delhi
294,2015,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,50862,501199,New Delhi
